Dispatch_ID,GPU_ID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Correlation_ID,Kernel_ID,GRBM_GUI_ACTIVE,SQ_ACTIVE_INST_FLAT,SQ_ACTIVE_INST_MISC,SQ_ACTIVE_INST_VALU,SQ_ACTIVE_INST_VMEM,SQ_THREAD_CYCLES_VALU,SQ_WAVES,Start_Timestamp,End_Timestamp
107,1,256,256,1024,0,12,4,32,64,"batch_decode_kernels::rmsnorm(float*, float const*, unsigned short const*, int, int, float)",108,33,33029.0,128.0,148.0,773.0,0.0,49151.0,4.0,4912534966118518.0,4912534966131478.0
108,1,4096,256,0,0,16,0,32,64,"batch_decode_kernels::gemv(float*, float const*, unsigned short const*, int, int, int, int)",109,18,46616.0,4160.0,4608.0,26944.0,0.0,1708288.0,64.0,4912534966189878.0,4912534966210998.0
109,1,64,64,0,0,16,0,48,64,"void moe_kernels::router_topk_wave64_kernel<64>(float*, float const*, int*, float*, int, int, int, int, int, float)",110,57,40047.0,26.0,120.0,401.0,0.0,19068.0,1.0,4912534966314999.0,4912534966331319.0
110,1,540672,256,0,0,20,4,48,64,"batch_decode_kernels::routed_shared_gate_up(float*, float*, float const*, char const*, unsigned long const*, unsigned long const*, int const*, unsigned short const*, unsigned short const*, int, int, int, int, int)",111,43,158491.0,844800.0,321024.0,4604160.0,0.0,274973952.0,8448.0,4912534966397399.0,4912534966490840.0
111,1,180224,256,0,0,24,0,32,64,"batch_decode_kernels::gate_up_swiglu(float*, float const*, unsigned short const*, unsigned short const*, int, int, int)",112,37,66863.0,273152.0,199936.0,1762816.0,0.0,106256128.0,2816.0,4912534966551000.0,4912534966586200.0
112,1,131072,256,0,0,24,0,48,64,"batch_decode_kernels::routed_shared_down(float*, float const*, float const*, char const*, unsigned long const*, int const*, float const*, unsigned short const*, int, int, int, int, int)",113,46,114531.0,544768.0,331776.0,2744320.0,0.0,172410880.0,2048.0,4912534966650360.0,4912534966715321.0
113,1,131072,256,0,0,16,0,32,64,"batch_decode_kernels::gemv(float*, float const*, unsigned short const*, int, int, int, int)",114,18,56214.0,184320.0,196608.0,1134592.0,0.0,71968768.0,2048.0,4912534966780601.0,4912534966808761.0
114,1,256,256,1024,0,12,4,32,64,"batch_decode_kernels::rmsnorm(float*, float const*, unsigned short const*, int, int, float)",115,33,32582.0,128.0,148.0,773.0,0.0,49151.0,4.0,4912534966871961.0,4912534966884601.0
115,1,233472,256,0,0,16,0,32,64,"batch_decode_kernels::dual_gemv(float*, unsigned short const*, int, float*, unsigned short const*, int, float const*, int, int)",116,35,73532.0,237120.0,259008.0,1601472.0,0.0,101345088.0,3648.0,4912534966946842.0,4912534966985562.0
116,1,256,256,1024,0,24,0,32,64,"batch_decode_kernels::kv_norm_rope(unsigned short*, float const*, unsigned short const*, int, int, int, int, int, int, float const*, int, float)",117,39,30737.0,36.0,110.0,435.0,0.0,25151.0,4.0,4912534967048602.0,4912534967060122.0
117,1,524288,256,0,0,36,4,32,64,"batch_decode_kernels::q_absorb_rope(float*, float*, float const*, unsigned short const*, int, int, int, int, int, int, int, float const*, int)",118,38,36139.0,41024.0,98432.0,1222240.0,0.0,73010688.0,8192.0,4912534967123002.0,4912534967138522.0
118,1,1024,256,0,0,16,0,32,64,"batch_decode_kernels::attention_score(float*, float const*, float const*, unsigned short const*, int, int, int, int, int, int, int, float)",119,41,27665.0,304.0,224.0,3408.0,0.0,204000.0,16.0,4912534967204923.0,4912534967214683.0
119,1,4096,256,1024,0,20,4,48,64,"void attention_kernels::softmax_rows_kernel<256>(float*, int, int, int, int)",120,51,25013.0,80.0,2672.0,2512.0,0.0,70672.0,64.0,4912534967278523.0,4912534967286683.0
120,1,524288,256,0,0,16,0,32,64,"batch_decode_kernels::latent_context(float*, float const*, unsigned short const*, int, int, int, int, int, int)",121,23,27337.0,24576.0,40960.0,933888.0,0.0,34996224.0,8192.0,4912534967351803.0,4912534967361723.0
121,1,131072,256,0,0,20,4,32,64,"batch_decode_kernels::value_up(float*, float const*, unsigned short const*, int, int, int, int, unsigned long)",122,25,30345.0,34816.0,47104.0,444416.0,0.0,27152384.0,2048.0,4912534967424764.0,4912534967436284.0
122,1,131072,256,0,0,16,0,32,64,"batch_decode_kernels::gemv(float*, float const*, unsigned short const*, int, int, int, int)",123,18,48959.0,135168.0,147456.0,864256.0,0.0,54667264.0,2048.0,4912534967498844.0,4912534967522044.0
